_id,TRACT,Pre1950
1,10300,0.658477
2,20100,0.321088
3,20300,0.724907
4,30500,0.324117
5,40200,0.463549
6,40400,0.405292
7,40500,0.547655
8,40600,0.490532
9,40900,0.613667
10,50100,0.540088
11,50600,0.60877
12,50900,0.494751
13,51000,0.197163
14,51100,0.738431
15,60300,0.715549
16,60500,0.843049
17,70300,0.59306
18,70500,0.578623
19,70600,0.422666
20,70800,0.442815
21,70900,0.438115
22,80200,0.825301
23,80400,0.72963
24,80600,0.879556
25,80700,0.553542
26,80900,0.6589
27,90100,0.88173
28,90200,0.828135
29,90300,0.823293
30,100500,0.226396
31,101100,0.85543
32,101400,0.787021
33,101600,0.428161
34,101700,0.637405
35,101800,0.58749
36,110200,0.745016
37,110600,0.676964
38,111300,0.707692
39,111400,0.711382
40,111500,0.282576
41,120300,0.611422
42,120400,0.559735
43,120700,0.733696
44,120800,0.904762
45,130100,0.743519
46,130200,0.880952
47,130300,0.398515
48,130400,0.680532
49,130600,0.353866
50,140100,0.671391
51,140200,0.474977
52,140300,0.72179
53,140400,0.671301
54,140500,0.585366
55,140600,0.770514
56,140800,0.670526
57,141000,0.915811
58,141100,0.576138
59,141300,0.678835
60,141400,0.424324
61,151600,0.673998
62,151700,0.653287
63,160800,0.891181
64,160900,0.599893
65,170200,0.729663
66,170600,0.847349
67,180300,0.658628
68,180700,0.742019
69,190300,0.707038
70,191100,0.560345
71,191400,0.64104
72,191500,0.746814
73,191600,0.636752
74,191700,0.431515
75,191800,0.64941
76,191900,0.733641
77,192000,0.584158
78,202200,0.683447
79,202300,0.176281
80,210700,0.639633
81,220600,0.779854
82,240600,0.831875
83,241200,0.801066
84,250300,0.905109
85,250700,0.627907
86,250900,0.802532
87,260200,0.760075
88,260700,0.797933
89,260900,0.270588
90,261200,0.656489
91,261400,0.651976
92,261500,0.566557
93,262000,0.734582
94,270100,0.874126
95,270300,0.77907
96,270400,0.747664
97,270800,0.502622
98,271500,0.796455
99,281400,0.441176
100,281500,0.601955
101,290100,0.763182
102,290200,0.713159
103,290400,0.658718
104,300100,0.809329
105,310200,0.509506
106,310300,0.292621
107,320400,0.590323
108,320600,0.496762
109,320700,0.570529
110,401100,0.307229
111,401200,0.617838
112,401300,0.659259
113,402000,0.535176
114,403500,0.567926
115,404000,0.582228
116,405000,0.29588
117,406000,0.40628
118,407001,0.285043
119,407002,0.228315
120,408001,0.222542
121,408002,0.079481
122,409000,0.123176
123,410000,0.221154
124,411000,0.099735
125,412001,0.050155
126,412002,0.098369
127,413100,0.064144
128,413201,0.09375
129,413202,0.150988
130,413300,0.098182
131,413400,0.056771
132,413500,0.033322
133,414101,0.037506
134,414102,0.145729
135,414200,0.178646
136,415001,0.283491
137,415002,0.297753
138,416000,0.265957
139,417100,0.515152
140,417200,0.479256
141,418000,0.334906
142,419000,0.299197
143,420000,0.489535
144,421100,0.218182
145,421200,0.258378
146,422000,0.271693
147,423000,0.511173
148,424000,0.552391
149,425000,0.621835
150,426300,0.256132
151,426400,0.431487
152,426700,0.200669
153,426800,0.058271
154,427000,0.741272
155,427100,0.158375
156,427200,0.370686
157,428100,0.672355
158,428200,0.110302
159,429100,0.362703
160,429201,0.143157
161,429202,0.157121
162,429300,0.107704
163,429400,0.412329
164,429500,0.111632
165,429600,0.302624
166,429700,0.193315
167,430100,0.637205
168,430200,0.596467
169,431100,0.63206
170,431400,0.687081
171,431500,0.525468
172,432300,0.485692
173,432400,0.540731
174,434000,0.7775
175,435000,0.532468
176,437000,0.080622
177,439000,0.322917
178,445500,0.648577
179,446000,0.667178
180,447000,0.401869
181,448000,0.720126
182,449000,0.25876
183,450700,0.666667
184,450800,0.578985
185,451101,0.04875
186,451102,0.170124
187,451104,0.126848
188,451105,0.118
189,451300,0.130598
190,452000,0.209011
191,453003,0.148936
192,453004,0.023883
193,455000,0.45098
194,456001,0.342222
195,456003,0.173016
196,456004,0.031883
197,457100,0.398533
198,457200,0.403125
199,458000,0.241017
200,459101,0.152012
201,459102,0.099092
202,459201,0.057152
203,459202,0.030364
204,460001,0.204938
205,460002,0.125421
206,461000,0.559016
207,462100,0.514434
208,462600,0.667188
209,463900,0.636364
210,464300,0.625452
211,464400,0.546214
212,465600,0.561256
213,465800,0.692628
214,468700,0.641204
215,468800,0.590101
216,468900,0.478125
217,469000,0.251678
218,470300,0.09711
219,470400,0.225569
220,470501,0.080886
221,470502,0.138973
222,470600,0.623788
223,471000,0.618401
224,472100,0.679811
225,472200,0.767504
226,472300,0.797271
227,472400,0.814286
228,473100,0.641324
229,473200,0.584597
230,473300,0.511658
231,473401,0.641698
232,473402,0.3402
233,473500,0.648467
234,473601,0.472288
235,473602,0.123262
236,474101,0.193428
237,474102,0.183892
238,474201,0.023732
239,474202,0.016037
240,474203,0.087195
241,475101,0.152535
242,475102,0.221893
243,475200,0.277551
244,475301,0.205545
245,475303,0.088512
246,475304,0.047865
247,475401,0.186853
248,475402,0.101792
249,476100,0.26186
250,476200,0.282306
251,477100,0.214669
252,477200,0.257204
253,477300,0.2026
254,478100,0.560851
255,478200,0.514341
256,479000,0.410023
257,480101,0.358253
258,480102,0.231114
259,480200,0.251389
260,480300,0.295393
261,480400,0.175068
262,481000,0.79703
263,482500,0.376812
264,483800,0.707951
265,484300,0.653326
266,484500,0.425391
267,484600,0.573439
268,485000,0.66835
269,486700,0.428261
270,486800,0.761506
271,486900,0.673966
272,487000,0.729979
273,488100,0.452812
274,488200,0.570635
275,488300,0.213516
276,488400,0.493933
277,488500,0.187758
278,488600,0.19914
279,489001,0.292145
280,489002,0.178205
281,490002,0.197308
282,490003,0.235891
283,490004,0.056295
284,491101,0.067296
285,491200,0.162393
286,492700,0.744551
287,492800,0.705809
288,492900,0.792528
289,494000,0.748271
290,495000,0.356839
291,496101,0.272727
292,496102,0.272593
293,496200,0.301699
294,497000,0.411642
295,498000,0.324082
296,499300,0.579657
297,499400,0.728282
298,500300,0.423134
299,501000,0.489631
300,503002,0.341319
301,504100,0.358088
302,507000,0.542301
303,508000,0.552609
304,509400,0.715935
305,510000,0.588293
306,512000,0.696897
307,512800,0.665971
308,512900,0.78343
309,513800,0.612628
310,514000,0.619526
311,515100,0.594545
312,515200,0.590523
313,515300,0.598958
314,515401,0.690226
315,516100,0.757282
316,516200,0.675916
317,517000,0.274223
318,518001,0.446771
319,519000,0.212054
320,520001,0.142857
321,520002,0.3209
322,521100,0.108179
323,521200,0.131703
324,521301,0.103175
325,521302,0.190708
326,521401,0.021293
327,521402,0.051346
328,521500,0.07708
329,522000,0.685492
330,523100,0.258709
331,523200,0.429505
332,523300,0.212637
333,523400,0.262947
334,523501,0.122646
335,523502,0.325859
336,523600,0.119153
337,523701,0.220472
338,523702,0.239447
339,523800,0.281167
340,524000,0.496759
341,525100,0.361111
342,525200,0.45508
343,525300,0.560561
344,526101,0.141394
345,526102,0.422658
346,526201,0.108108
347,526202,0.100812
348,526301,0.021881
349,526302,0.029568
350,550900,0.717901
351,551200,0.610699
352,551300,0.418712
353,551900,0.334286
354,552000,0.706546
355,552100,0.598291
356,552200,0.84041
357,552300,0.79495
358,552400,0.712239
359,560400,0.478389
360,560500,0.664493
361,560600,0.574519
362,561000,0.716484
363,561100,0.787431
364,561200,0.699888
365,561400,0.454685
366,561500,0.422564
367,561600,0.759919
368,561700,0.748538
369,561900,0.491213
370,562000,0.402216
371,562300,0.637153
372,562400,0.757781
373,562500,0.720639
374,562600,0.780451
375,562700,0.173913
376,562800,0.596222
377,562900,0.733971
378,563000,0.305085
379,563100,0.34123
380,563200,0.717496
381,563300,0.312602
382,563800,0.299274
383,563900,0.552741
384,564000,0.263655
385,564100,0.518519
386,564200,0.242342
387,564400,0.333222
388,564500,0.426657
389,980000,0.353982
390,980100,0
391,980700,0.619048
392,981100,0
393,982200,0.391304
